Date;Open;High;Low;Close*;Adj Close**;Volume
Jul 08, 2016;421.00;424.00;420.75;420.75;420.75;84
Jul 07, 2016;417.25;421.25;410.75;412.00;412.00;169
Jul 06, 2016;415.25;418.75;408.00;415.75;415.75;355
Jul 05, 2016;416.25;419.50;405.00;419.50;419.50;308
Jul 01, 2016;430.25;431.00;414.25;416.25;416.25;735
Jun 30, 2016;429.75;438.75;423.00;431.25;431.25;2,435
Jun 29, 2016;443.75;447.25;428.50;429.50;429.50;16,274
Jun 28, 2016;446.25;454.75;442.75;443.75;443.75;20,654
Jun 27, 2016;454.75;460.00;446.00;446.75;446.75;20,891
Jun 24, 2016;454.50;456.00;441.75;454.75;454.75;44,99
Jun 23, 2016;458.25;461.50;453.25;454.25;454.25;42,623
Jun 22, 2016;460.00;465.25;458.25;458.75;458.75;49,107
Jun 21, 2016;473.00;476.50;457.25;458.50;458.50;65,922
Jun 20, 2016;480.50;480.75;472.25;473.00;473.00;58,397
Jun 17, 2016;473.75;482.50;472.50;481.25;481.25;62,549
Jun 16, 2016;477.50;479.50;471.00;472.50;472.50;67,811
Jun 15, 2016;485.00;489.75;477.00;477.50;477.50;74,692
Jun 14, 2016;491.50;493.50;481.25;485.00;485.00;105,522
Jun 13, 2016;495.50;503.25;490.75;491.25;491.25;107,395
Jun 10, 2016;510.25;512.50;494.25;495.00;495.00;127,494
Jun 09, 2016;518.75;519.00;506.00;510.25;510.25;105,867
Jun 08, 2016;507.25;524.00;506.00;519.50;519.50;138,771
Jun 07, 2016;507.00;513.50;500.75;509.00;509.00;113,852
Jun 06, 2016;496.00;514.75;496.00;507.50;507.50;116,771
Jun 03, 2016;484.25;498.25;482.25;497.25;497.25;113,652
Jun 02, 2016;473.50;487.00;472.75;485.50;485.50;92,411
Jun 01, 2016;464.50;474.75;463.00;473.75;473.75;66,398
May 31, 2016;481.00;483.75;463.50;464.50;464.50;99,987
May 27, 2016;481.25;484.75;478.50;481.50;481.50;72,037
May 26, 2016;465.75;482.25;465.50;481.25;481.25;100,179
May 25, 2016;464.00;469.00;463.00;466.00;466.00;48,818
May 24, 2016;462.25;470.00;457.75;464.00;464.00;67,393
May 23, 2016;466.00;469.00;461.00;462.00;462.00;57,51
May 20, 2016;467.75;474.50;464.25;467.75;467.75;62,463
May 19, 2016;478.50;479.50;462.50;468.75;468.75;89,56
May 18, 2016;481.25;484.75;477.00;480.00;480.00;62,478
May 17, 2016;472.75;484.50;472.75;481.75;481.75;74,128
May 16, 2016;474.00;476.50;467.50;474.75;474.75;50,581
May 13, 2016;458.00;466.00;458.00;465.00;465.00;76,197
May 12, 2016;452.50;458.50;452.50;458.50;458.50;24
May 11, 2016;454.00;454.00;449.50;449.50;449.50;3
May 10, 2016;450.00;458.75;446.75;451.50;451.50;25
May 09, 2016;454.75;454.75;446.00;447.00;447.00;153
May 06, 2016;453.50;458.50;453.25;453.25;453.25;356
May 05, 2016;460.00;461.50;452.75;453.00;453.00;329
May 04, 2016;460.75;465.25;460.00;460.50;460.50;343
May 03, 2016;480.00;481.50;458.25;459.75;459.75;751
May 02, 2016;476.00;479.00;471.75;477.00;477.00;1,837
Apr 29, 2016;472.25;480.50;470.50;478.00;478.00;5,031
Apr 28, 2016;474.75;486.75;472.00;475.50;475.50;15,48
Apr 27, 2016;478.00;482.00;471.50;474.25;474.25;20,36
Apr 26, 2016;471.00;480.50;467.00;479.75;479.75;18,275
Apr 25, 2016;466.75;478.75;462.00;471.25;471.25;25,575
Apr 22, 2016;494.00;494.00;465.25;467.00;467.00;69,802
Apr 21, 2016;503.00;510.75;490.75;495.75;495.75;62,582
Apr 20, 2016;485.50;504.75;484.75;504.25;504.25;59,456
Apr 19, 2016;473.00;487.75;471.00;486.25;486.25;79,828
Apr 18, 2016;461.75;477.00;460.50;472.75;472.75;100,74
Apr 15, 2016;459.25;462.25;454.75;459.75;459.75;72,123
Apr 14, 2016;461.50;465.50;454.25;459.75;459.75;90,505
Apr 13, 2016;452.50;466.75;450.00;461.50;461.50;111,478
Apr 12, 2016;448.00;457.00;446.50;452.50;452.50;93,141
Apr 11, 2016;458.00;458.75;446.00;447.25;447.25;103,496
Apr 08, 2016;457.50;462.50;456.25;460.25;460.25;82,236
Apr 07, 2016;463.00;465.25;456.75;457.00;457.00;76,55
Apr 06, 2016;473.00;473.75;461.50;463.00;463.00;77,657
Apr 05, 2016;475.00;476.50;470.00;474.00;474.00;42,643
Apr 04, 2016;476.00;479.00;470.25;474.75;474.75;52,802
Apr 01, 2016;473.25;476.25;466.25;475.75;475.75;59,592
Mar 31, 2016;464.00;475.00;455.25;473.50;473.50;114,421
Mar 30, 2016;476.00;477.50;463.00;464.00;464.00;76,784
Mar 29, 2016;471.00;477.50;470.50;476.75;476.75;50,203
Mar 28, 2016;465.75;477.25;463.50;471.00;471.00;63,256
Mar 24, 2016;463.50;464.50;458.50;463.00;463.00;39,232
Mar 23, 2016;467.50;468.00;462.50;463.00;463.00;34,997
Mar 22, 2016;466.50;470.50;463.25;466.75;466.75;47,966
Mar 21, 2016;468.75;472.00;463.75;466.50;466.50;59,6
Mar 18, 2016;463.00;464.25;457.50;463.00;463.00;39,643
Mar 17, 2016;471.50;476.00;460.25;462.50;462.50;86,914
Mar 16, 2016;476.75;477.00;469.75;470.75;470.75;39,822
Mar 15, 2016;478.50;479.25;473.00;477.25;477.25;40,065
Mar 14, 2016;469.00;473.50;469.00;471.50;471.50;44,445
Mar 11, 2016;472.50;472.75;467.75;469.75;469.75;237
Mar 10, 2016;463.25;471.50;463.25;471.50;471.50;55
Mar 09, 2016;461.00;463.75;454.75;463.75;463.75;145
Mar 08, 2016;454.75;461.25;454.75;461.25;461.25;153
Mar 07, 2016;460.00;462.25;457.75;457.75;457.75;106
Mar 04, 2016;454.25;458.50;453.25;454.75;454.75;330
Mar 03, 2016;442.75;456.50;442.75;453.25;453.25;1
Mar 02, 2016;440.00;443.00;435.25;442.75;442.75;1,337
Mar 01, 2016;445.00;446.75;437.75;438.50;438.50;1,101
Feb 29, 2016;446.25;448.50;443.00;445.00;445.00;2,087
Feb 26, 2016;445.00;447.25;439.50;443.25;443.25;24,548
Feb 25, 2016;443.25;446.75;440.50;445.25;445.25;22,796
Feb 24, 2016;447.50;448.00;438.00;442.75;442.75;41,098
Feb 23, 2016;458.00;459.25;447.50;448.00;448.00;54,134
Feb 22, 2016;461.00;463.25;458.00;458.50;458.50;50,119
Feb 19, 2016;462.00;464.25;460.00;461.75;461.75;53,43
Feb 18, 2016;468.75;468.75;461.75;462.25;462.25;84,535
Feb 17, 2016;463.75;470.00;462.50;468.50;468.50;69,086
Feb 16, 2016;460.25;465.00;459.75;464.25;464.25;78,29
Feb 15, 2016;-;-;-;-;-;-
Feb 12, 2016;458.75;462.00;455.00;457.50;457.50;69,342
Feb 11, 2016;460.50;465.75;457.75;458.25;458.25;105,497
Feb 10, 2016;457.75;462.75;456.50;461.25;461.25;98,224
Feb 09, 2016;458.75;460.25;455.00;457.50;457.50;93,619
Feb 08, 2016;466.00;468.75;457.50;458.50;458.50;106,709
Feb 05, 2016;473.75;474.00;465.50;466.75;466.75;124,187
Feb 04, 2016;479.00;482.50;472.50;472.75;472.75;82,202
Feb 03, 2016;475.75;480.50;474.50;480.00;480.00;75,261
Feb 02, 2016;475.75;483.00;473.25;475.25;475.25;81,869
Feb 01, 2016;476.25;477.00;471.25;475.25;475.25;54,739
Jan 29, 2016;472.25;479.75;470.75;479.25;479.25;63,054
Jan 28, 2016;477.00;477.00;470.50;472.25;472.25;54,662
Jan 27, 2016;484.75;485.75;473.50;476.50;476.50;76,816
Jan 26, 2016;481.50;488.50;478.00;484.75;484.75;70,11
Jan 25, 2016;476.00;483.75;475.50;481.50;481.50;69,027
Jan 22, 2016;475.50;480.00;472.50;475.50;475.50;48,741
Jan 21, 2016;473.00;480.00;470.50;475.00;475.00;66,429
Jan 20, 2016;473.00;475.50;467.25;471.50;471.50;57,335
Jan 19, 2016;475.00;479.00;470.50;474.50;474.50;53,537
Jan 18, 2016;-;-;-;-;-;-
Jan 15, 2016;468.75;474.50;465.00;473.75;473.75;51,486
Jan 14, 2016;478.00;478.00;468.00;468.75;468.75;61,41
Jan 13, 2016;480.50;484.25;476.50;478.00;478.00;63,921
Jan 12, 2016;470.25;483.25;462.50;481.25;481.25;111,042
Jan 11, 2016;481.25;481.50;466.50;469.00;469.00;70,055
Jan 08, 2016;468.25;480.00;467.50;478.50;478.50;86,311
Jan 07, 2016;464.00;469.00;456.25;468.50;468.50;65,716
Jan 06, 2016;461.25;465.75;456.75;462.75;462.75;44,78
Jan 05, 2016;460.25;464.75;458.50;461.25;461.25;52,297
Jan 04, 2016;472.75;473.50;456.00;458.25;458.25;79,124
Dec 31, 2015;469.75;472.50;468.75;470.00;470.00;24,123
Dec 30, 2015;476.50;479.50;469.25;469.75;469.75;41,223
Dec 29, 2015;467.50;476.75;467.00;475.75;475.75;36,636
Dec 28, 2015;468.00;472.50;466.00;466.50;466.50;30,601
Dec 24, 2015;468.50;471.75;467.25;467.50;467.50;20,91
Dec 23, 2015;472.50;475.00;468.00;469.50;469.50;41,185
Dec 22, 2015;480.00;482.75;471.25;471.75;471.75;45,031
Dec 21, 2015;486.00;491.00;478.25;479.00;479.00;45,649
Dec 18, 2015;486.00;499.00;481.00;486.75;486.75;72,904
Dec 17, 2015;482.75;488.25;472.25;484.00;484.00;72,702
Dec 16, 2015;493.25;497.00;483.25;483.50;483.50;56,697
Dec 15, 2015;491.00;498.00;486.25;494.25;494.25;50,977
Dec 14, 2015;488.00;490.50;487.75;487.75;487.75;36,25
Dec 11, 2015;487.50;491.25;480.00;482.75;482.75;46
Dec 10, 2015;478.50;487.75;476.75;484.50;484.50;32
Dec 09, 2015;469.75;479.75;469.75;478.00;478.00;36
Dec 08, 2015;471.00;471.75;466.50;470.75;470.75;134
Dec 07, 2015;474.75;474.75;470.25;470.25;470.25;284
Dec 04, 2015;465.00;471.25;465.00;471.25;471.25;328
Dec 03, 2015;452.00;469.00;452.00;464.75;464.75;419
